cluster_id,bucket,dedup_role,canonical_cluster_id,kinds,total_chars
84636,REVIEW,canonical,84636,summary;headmatter,1938
84637,REVIEW,canonical,84637,summary;headmatter,504
84640,REVIEW,canonical,84640,summary;headmatter,3118
84641,REVIEW,canonical,84641,summary;headmatter,3456
84651,REVIEW,canonical,84651,summary;headmatter,1810
84653,REVIEW,canonical,84653,summary;headmatter,15162
84654,REVIEW,canonical,84654,summary;headmatter,12882
84655,REVIEW,canonical,84655,summary;headmatter,23837
84656,REVIEW,canonical,84656,summary;headmatter,797
84658,REVIEW,canonical,84658,summary;headmatter,1299
84659,REVIEW,canonical,84659,summary;headmatter,1366
84660,REVIEW,canonical,84660,headmatter,90
84661,REVIEW,canonical,84661,summary;headmatter,8658
84663,REVIEW,canonical,84663,summary;headmatter,7843
84665,REVIEW,canonical,84665,summary;headmatter,10040
84666,REVIEW,canonical,84666,summary;headmatter,6213
84667,REVIEW,canonical,84667,summary;headmatter,24147
84669,REVIEW,canonical,84669,summary;headmatter,18471
84670,REVIEW,canonical,84670,summary;headmatter,4982
84680,KEEP,canonical,84680,summary;headmatter,17843
84681,KEEP,canonical,84681,summary;headmatter,63955
84683,KEEP,canonical,84683,headnotes;summary;headmatter,14639
84684,KEEP,canonical,84684,summary;headmatter,5120
84685,KEEP,canonical,84685,headnotes;summary;headmatter,51630
84686,KEEP,canonical,84686,summary;headmatter,7628
84689,KEEP,canonical,84689,summary;headmatter,7345
84690,KEEP,canonical,84690,summary;headmatter,3540
84693,KEEP,canonical,84693,summary;headmatter,10682
84698,KEEP,canonical,84698,summary;headmatter,195106
84699,REVIEW,canonical,84699,summary;headmatter,32145
84701,REVIEW,canonical,84701,summary;headmatter,2396
84703,REVIEW,canonical,84703,summary;headmatter,4241
84704,REVIEW,canonical,84704,summary;headmatter,8599
84706,KEEP,canonical,84706,headnotes;summary;headmatter,9062
84754,KEEP,canonical,84754,headnotes;summary;headmatter,101931
84755,KEEP,canonical,84755,headnotes;summary;headmatter,200260
84756,KEEP,canonical,84756,headnotes;summary;headmatter,25329
84759,KEEP,canonical,84759,headnotes;summary;headmatter,78573
84760,KEEP,canonical,84760,headnotes;summary;headmatter,44036
84761,KEEP,canonical,84761,headnotes;summary;headmatter,77797
84763,KEEP,canonical,84763,summary;headmatter,69158
84764,KEEP,canonical,84764,headnotes;summary;headmatter,49268
84765,KEEP,canonical,84765,headnotes;summary;headmatter,16479
84767,KEEP,canonical,84767,headnotes;summary;headmatter;disposition,37889
84768,KEEP,canonical,84768,headnotes;summary;headmatter,35678
84769,KEEP,canonical,84769,headnotes;summary;headmatter,44006
84770,KEEP,canonical,84770,headnotes;summary;headmatter,24633
84771,KEEP,canonical,84771,headnotes;summary;headmatter,6158
84772,KEEP,canonical,84772,summary;headmatter,44085
84774,KEEP,canonical,84774,headnotes;summary;headmatter,86787
84775,KEEP,canonical,84775,headnotes;summary;headmatter,438
84782,KEEP,canonical,84782,headnotes;summary;headmatter;arguments,20950
84793,KEEP,canonical,84793,headnotes;summary;headmatter;arguments,92340
84794,KEEP,canonical,84794,headnotes;summary;headmatter;arguments,36303
84795,KEEP,canonical,84795,headnotes;summary;headmatter;arguments,262123
84796,KEEP,canonical,84796,headnotes;summary;headmatter;arguments,69758
84798,KEEP,canonical,84798,headnotes;summary;headmatter;arguments,149422
84799,KEEP,canonical,84799,headnotes;summary;headmatter;arguments,72044
84802,KEEP,canonical,84802,headnotes;summary;headmatter;arguments,4885
84805,KEEP,canonical,84805,headnotes;summary;headmatter;arguments;history,66314
84810,KEEP,canonical,84810,headnotes;summary;headmatter;arguments,22153
84812,KEEP,canonical,84812,headnotes;summary;headmatter;arguments,3710
84813,KEEP,canonical,84813,headnotes;summary;headmatter,7206
84814,KEEP,canonical,84814,headnotes;summary;headmatter;arguments,45171
84815,KEEP,canonical,84815,headnotes;summary;headmatter;arguments,30367
84817,KEEP,canonical,84817,headnotes;summary;headmatter,7886
84818,KEEP,canonical,84818,headnotes;summary;headmatter;arguments,27313
84822,KEEP,canonical,84822,headnotes;summary;headmatter;arguments,20888
84823,KEEP,canonical,84823,headnotes;summary;headmatter;arguments,57241
84824,KEEP,canonical,84824,headnotes;summary;headmatter;arguments,84728
84825,KEEP,canonical,84825,headnotes;summary;headmatter;arguments,42613
84826,KEEP,canonical,84826,headnotes;summary;headmatter;arguments,108073
84829,KEEP,canonical,84829,headnotes;summary;headmatter;arguments,132963
84831,KEEP,canonical,84831,headnotes;summary;headmatter;arguments,12637
84833,KEEP,canonical,84833,headnotes;summary;headmatter;arguments,25861
84835,KEEP,canonical,84835,headnotes;summary;headmatter;arguments,84284
84836,KEEP,canonical,84836,headnotes;summary;headmatter;arguments,52477
84837,KEEP,canonical,84837,headnotes;summary;headmatter;arguments,5245
84838,KEEP,canonical,84838,headnotes;summary;headmatter;arguments,35239
84839,KEEP,canonical,84839,headnotes;summary;headmatter;arguments,11438
84840,KEEP,canonical,84840,headnotes;summary;headmatter;arguments,33444
84842,KEEP,canonical,84842,headnotes;summary;headmatter;arguments,92864
