reporter,rep_vol,us_vol,name,page,year
Dallas,2,2,West v. Barnes,401,1791
Dallas,2,2,Van Staphorst v. Maryland,401,1791
Dallas,2,2,Oswald v. New York I,401,1792
Dallas,2,2,Oswald v. New York II,402,1792
Dallas,2,2,Georgia v. Brailsford I,402,1792
Dallas,2,2,Hayburn's Case,409,1792
Dallas,2,2,Oswald v. New York III,415,1792
Dallas,2,2,Georgia v. Brailsford II,415,1793
Dallas,2,2,Chisholm v. Georgia,419,1793
Dallas,3,3,Georgia v. Brailsford,1,1794
Dallas,3,3,Glass v. The Sloop Betsey,6,1794
Dallas,3,3,United States v. Hamilton,17,1795
Dallas,3,3,Bingham v. Cabot (1795),19,1795
Dallas,3,3,United States v. Lawrence,42,1795
Dallas,3,3,Penhallow v. Doane's Administrators,54,1795
Dallas,3,3,United States v. Peters,121,1795
Dallas,3,3,Talbot v. Janson,133,1795
Dallas,3,3,Hylton v. United States,171,1796
Dallas,3,3,Hills v. Ross,184,1796
Dallas,3,3,McDonough v. Dannery,188,1796
Dallas,3,3,Ware v. Hylton,199,1796
Dallas,3,3,Geyer v. Michel,285,1796
Dallas,3,3,United States v. La Vengeance,297,1796
Dallas,3,3,Cotton v. Wallace,302,1796
Dallas,3,3,Hunter v. Fairfax's Devisee,305,1796
Dallas,3,3,Arcambel v. Wiseman,306,1796
Dallas,3,3,Moodie v. The Ship Alfred,307,1796
Dallas,3,3,Olney v. Arnold,308,1796
Dallas,3,3,Moodie v. The Ship Phoebe Anne,319,1796
Dallas,3,3,Grayson v. Virginia,320,1796
Dallas,3,3,Wiscart v. Dauchy,321,1796
Dallas,3,3,Hills v. Ross,331,1796
Dallas,3,3,Del Col v. Arnold,333,1796
Dallas,3,3,Jennings v. The Brig Perseverance,336,1797
Dallas,3,3,Huger v. South Carolina,339,1797
Dallas,3,3,Clerke v. Harwood,342,1797
Dallas,3,3,Brown v. Van Braam,344,1797
Dallas,3,3,Fenemore v. United States,357,1797
Dallas,3,3,Brown v. Barry,365,1797
Dallas,3,3,Emory v. Grenough,369,1797
Dallas,3,3,Hamilton v. Moore,371,1797
Dallas,3,3,Hollingsworth v. Virginia,378,1798
Dallas,3,3,Bingham v. Cabot (1798),382,1798
Dallas,3,3,Jones v. Le Tombe,384,1798
Dallas,3,3,Calder v. Bull,386,1798
Dallas,3,3,Wilson v. Daniel,401,1798
Dallas,3,3,Dewhurst v. Coulthard,409,1799
Dallas,3,3,Ex parte Hallowell,410,1799
Dallas,3,3,Fowler v. Lindsey,411,1799
Dallas,3,3,Clarke v. Russel,415,1799
Dallas,3,3,Sims' Lessee v. Irvine,425,1799
Dallas,4,4,New York v. Connecticut,1,1799
Dallas,4,4,Hazlehurst v. United States,6,1799
Dallas,4,4,Turner v. Enrille,7,1799
Dallas,4,4,Turner v. Bank of N. Am.,8,1799
Dallas,4,4,Mossman v. Higginson,12,1800
Dallas,4,4,Cooper v. Telfair,14,1800
Dallas,4,4,Williamson v. Kincaid,20,1800
Dallas,4,4,Rutherford v. Fisher,22,1800
Dallas,4,4,Blair v. Miller,21,1800
Dallas,4,4,Course v. Stead,22,1800
Dallas,4,4,Blaine v. Ship Clarles Carter,22,1800
Dallas,4,4,Priestman v. United States,28,1800
Dallas,4,4,Talbot v. Ship Amelia,34,1800
Dallas,4,4,Bas v. Tingy,37,1800
Cranch,5,9,Talbot v. Seeman,1,1801
Cranch,5,9,Wilson v. Mason,45,1801
Cranch,5,9,The Schooner Peggy,103,1801
Cranch,5,9,Resler v. Shehee,110,1801
Cranch,5,9,Turner v. Fendall,116,1801
Cranch,5,9,Marbury v. Madison,137,1803
Cranch,5,9,Clark v. Young,181,1803
Cranch,5,9,Wilson v. Lenox,194,1803
Cranch,5,9,Clarke v. Bazadone,212,1803
Cranch,5,9,Hooe and Company. v. Groverman,214,1803
Cranch,5,9,Wood v. Owings,239,1803
Cranch,5,9,United States v. Simms,252,1803
Cranch,5,9,Fenwick v. Sears's Administrators,259,1803
Cranch,5,9,Thompson v. Jameson,282,1803
Cranch,5,9,Mandeville v. Joseph Riddle and Company,290,1803
Cranch,5,9,Stuart v. Laird,299,1803
Cranch,5,9,Hamilton v. Russell,309,1803
Cranch,5,9,United States v. Hooe,318,1803
Cranch,5,9,Hepburn v. Auld,321,1803
Cranch,5,9,Marine Insurance Company v. Young,332,1803
Cranch,5,9,Abercrombie v. Dupuis,343,1803
Cranch,5,9,Lindo v. Gardner,343,1803
Cranch,5,9,Hodgson v. Dexter,345,1803
Cranch,5,9,Lloyd v. Alexander,365,1803
Cranch,6,10,Williams v. Lyles,10,
Cranch,6,10,Wood v. Wagnon,10,
Cranch,6,10,Faw v. Marsteller,10,1804
Cranch,6,10,Ogle v. Lee,32,
Cranch,6,10,Pennington v. Coxe,33,1804
Cranch,6,10,The Schooner Charming Betsy,64,1804
Cranch,6,10,Capron v. Van Noorden,126,1804
Cranch,6,10,Head v. Providence Insurance Company,127,1804
Cranch,6,10,Little v. Barreme,170,1804
Cranch,6,10,Dunlop and Company v. Ball,180,1804
Cranch,6,10,Blakeney v. Evans,186,
Cranch,6,10,Church v. Hubbart,187,1804
Cranch,6,10,The Ship Blaireau,240,1804
Cranch,6,10,Ogden v. Blackledge,272,1804
Cranch,6,10,McIlvaine v. Coxe's Lessee,280,1805
Cranch,6,10,Adams v. Woods,336,1805
Cranch,6,10,Winchester v. Hackley,342,1805
Cranch,6,10,Reily v. Lamar,344,1805
Cranch,6,10,United States v. Fisher,358,1805
Cranch,6,10,Bailiff v. Tipping,406,1805
