original,suggestion,rule,n_candidates,alternatives,count,example_opinion_id,example_page,status,corrected
fuch,such,long-s,1,,278,84680,,pending,
fide,side,long-s,1,,174,84681,458,pending,
tbe,the,h->b,1,,174,84681,430,pending,
faid,said,long-s,1,,154,84681,,pending,
conftitution,constitution,long-s,1,,134,84680,407,pending,
againft,against,long-s,1,,123,84680,407,pending,
queftion,question,long-s,1,,123,84680,,pending,
thofe,those,long-s,1,,119,84681,430,pending,
congrefs,congress,long-s,1,,114,84681,432,pending,
muft,must,long-s,1,,111,84681,432,pending,
prefent,present,long-s,1,,106,84680,,pending,
thefe,these,long-s,1,,97,84680,406,pending,
becaufe,because,long-s,1,,92,84680,406,pending,
fome,some,long-s,1,,78,84680,407,pending,
caufe,cause,long-s,1,,76,84680,408,pending,
juftice,justice,long-s,1,,72,84680,406,pending,
ftate,state,long-s,1,,63,84680,,pending,
fuit,suit,long-s,1,,63,84680,406,pending,
legiflature,legislature,long-s,1,,57,84681,432,pending,
alfo,also,long-s,1,,56,84681,431,pending,
fum,sum,long-s,1,,52,84681,438,pending,
fay,say,long-s,1,,51,84680,407,pending,
confidered,considered,long-s,1,,49,84680,408,pending,
firft,first,long-s,1,,47,84680,408,pending,
ftates,states,long-s,1,,47,84681,442,pending,
confider,consider,long-s,1,,44,84680,408,pending,
perfons,persons,long-s,1,,44,84681,455,pending,
reafon,reason,long-s,1,,44,84680,408,pending,
fovereignty,sovereignty,long-s,1,,38,84681,430,pending,
fenfe,sense,long-s,1,,37,84681,447,pending,
fhould,should,long-s,1,,37,84681,,pending,
inftance,instance,long-s,1,,37,84681,432,pending,
perfon,person,long-s,1,,35,84681,437,pending,
bis,his,h->b,1,,34,84882,262,pending,
exprefs,express,long-s,1,,34,84681,436,pending,
faw,saw,long-s,1,,34,84776,,pending,
leaft,least,long-s,1,,34,84681,432,pending,
unlefs,unless,long-s,1,,34,84680,407,pending,
fecond,second,long-s,1,,33,84681,444,pending,
itfelf,itself,long-s,1,,33,84681,430,pending,
ufe,use,long-s,1,,33,84681,432,pending,
exercife,exercise,long-s,1,,32,84680,407,pending,
feveral,several,long-s,1,,30,84681,436,pending,
fovereign,sovereign,long-s,1,,30,84681,435,pending,
courfe,course,long-s,1,,29,84680,408,pending,
intereft,interest,long-s,1,,29,84681,438,pending,
reafons,reasons,long-s,1,,29,84680,408,pending,
whofe,whose,long-s,1,,29,84681,434,pending,
provifion,provision,long-s,1,,28,84681,446,pending,
moft,most,long-s,1,,27,84681,433,pending,
arifing,arising,long-s,1,,26,84681,430,pending,
decifion,decision,long-s,1,,26,84680,408,pending,
feems,seems,long-s,1,,26,84680,406,pending,
fued,sued,long-s,1,,25,84680,407,pending,
juft,just,long-s,1,,25,84681,438,pending,
legiflative,legislative,long-s,1,,25,84681,432,pending,
thoufand,thousand,long-s,1,,25,84681,449,pending,
fhall,shall,long-s,1,,24,84681,450,pending,
himfelf,himself,long-s,1,,24,84681,430,pending,
lefs,less,long-s,1,,24,84681,432,pending,
fhe,she,long-s,1,,23,84680,406,pending,
themfelves,themselves,long-s,1,,23,84681,447,pending,
circumftances,circumstances,long-s,1,,22,84680,408,pending,
counfel,counsel,long-s,1,,22,84681,444,pending,
fince,since,long-s,1,,22,84680,407,pending,
fpecial,special,long-s,1,,22,84680,,pending,
ftated,stated,long-s,1,,22,84681,437,pending,
ftill,still,long-s,1,,22,84681,434,pending,
fufficient,sufficient,long-s,1,,22,84680,407,pending,
laft,last,long-s,1,,22,84681,451,pending,
purpofe,purpose,long-s,1,,22,84681,435,pending,
confideration,consideration,long-s,1,,21,84680,406,pending,
feas,seas,long-s,1,,21,84681,440,pending,
anfwer,answer,long-s,1,,20,84680,407,pending,
controverfies,controversies,long-s,1,,20,84681,431,pending,
neceffary,necessary,long-s,1,,20,84681,432,pending,
confifcated,confiscated,long-s,1,,19,2351149,224,pending,
fays,says,long-s,1,,19,84681,442,pending,
commiffion,commission,long-s,1,,18,84681,442,pending,
exercifed,exercised,long-s,1,,18,84681,431,pending,
fervice,service,long-s,1,,18,84681,445,pending,
fet,set,long-s,1,,18,84680,,pending,
inftances,instances,long-s,1,,18,84681,431,pending,
occafion,occasion,long-s,1,,18,84681,433,pending,
controverfy,controversy,long-s,1,,17,84681,431,pending,
difpute,dispute,long-s,1,,17,84681,450,pending,
exprefsly,expressly,long-s,1,,17,84681,442,pending,
obferved,observed,long-s,1,,17,84681,460,pending,
confequence,consequence,long-s,1,,16,84681,434,pending,
feven,seven,long-s,1,,16,84681,439,pending,
furvey,survey,long-s,1,,16,84698,457,pending,
fyftem,system,long-s,1,,16,84681,448,pending,
procefs,process,long-s,1,,16,84681,446,pending,
purpofes,purposes,long-s,1,,16,84681,432,pending,
fuits,suits,long-s,1,,15,84680,408,pending,
fupport,support,long-s,1,,15,84680,,pending,
otherwife,otherwise,long-s,1,,15,84681,440,pending,
perfonal,personal,long-s,1,,15,84681,442,pending,
excife,excise,long-s,1,,14,84681,438,pending,
fubfequent,subsequent,long-s,1,,14,84681,439,pending,
obfervations,observations,long-s,1,,14,84681,439,pending,
pafs,pass,long-s,1,,14,84681,432,pending,
reafonable,reasonable,long-s,1,,14,84686,173,pending,
claufe,clause,long-s,1,,13,84686,177,pending,
cuftom,custom,long-s,1,,13,84693,368,pending,
deftroy,destroy,long-s,1,,13,2220732,198,pending,
fterling,sterling,long-s,1,,13,84693,368,pending,
fupported,supported,long-s,1,,13,84680,406,pending,
affigned,assigned,long-s,1,,12,84681,472,pending,
confequently,consequently,long-s,1,,12,84680,408,pending,
confidering,considering,long-s,1,,12,84681,448,pending,
